iter	Passed	Remaining
817	10944	2435
818	10957	2421
819	10970	2408
820	10983	2394
821	10996	2381
822	11009	2367
823	11022	2354
824	11035	2340
825	11048	2327
826	11061	2313
827	11076	2300
828	11089	2287
829	11102	2274
830	11116	2260
831	11129	2247
832	11142	2233
833	11156	2220
834	11169	2207
835	11182	2193
836	11195	2180
837	11208	2166
838	11222	2153
839	11236	2140
840	11250	2126
841	11263	2113
842	11280	2100
843	11294	2087
844	11308	2074
845	11322	2061
846	11336	2047
847	11351	2034
848	11366	2021
849	11380	2008
850	11393	1994
851	11406	1981
852	11419	1967
853	11432	1954
854	11445	1941
855	11458	1927
856	11471	1914
857	11485	1900
858	11498	1887
859	11511	1873
860	11525	1860
861	11538	1847
862	11552	1833
863	11565	1820
864	11578	1807
865	11592	1793
866	11605	1780
867	11620	1767
868	11633	1753
869	11646	1740
870	11659	1726
871	11673	1713
872	11686	1700
873	11700	1686
874	11713	1673
875	11726	1659
876	11739	1646
877	11753	1633
878	11765	1619
879	11779	1606
880	11794	1593
881	11807	1579
882	11821	1566
883	11835	1553
884	11848	1539
885	11863	1526
886	11876	1513
887	11889	1499
888	11902	1486
889	11915	1472
890	11928	1459
891	11941	1445
892	11955	1432
893	11968	1419
894	11983	1405
895	11998	1392
896	12012	1379
897	12025	1365
898	12038	1352
899	12052	1339
900	12065	1325
901	12078	1312
902	12091	1298
903	12105	1285
904	12119	1272
905	12133	1258
906	12146	1245
907	12159	1232
908	12172	1218
909	12185	1205
910	12198	1191
911	12212	1178
912	12224	1164
913	12238	1151
914	12251	1138
915	12264	1124
916	12277	1111
917	12292	1098
918	12305	1084
919	12319	1071
920	12335	1058
921	12349	1044
922	12362	1031
923	12375	1017
924	12388	1004
925	12402	991
926	12416	977
927	12429	964
928	12442	950
929	12457	937
930	12470	924
931	12484	910
932	12496	897
933	12510	884
934	12523	870
935	12536	857
936	12549	843
937	12562	830
938	12575	816
939	12589	803
940	12602	790
941	12615	776
942	12628	763
943	12641	749
944	12656	736
945	12669	723
946	12682	709
947	12695	696
948	12708	682
949	12721	669
950	12734	656
951	12748	642
952	12761	629
953	12774	615
954	12787	602
955	12800	589
956	12813	575
957	12826	562
958	12839	548
959	12853	535
960	12868	522
961	12881	508
962	12893	495
963	12908	482
964	12921	468
965	12937	455
966	12950	441
967	12963	428
968	12976	415
969	12989	401
970	13002	388
971	13014	374
972	13027	361
973	13040	348
974	13054	334
975	13069	321
976	13083	308
977	13096	294
978	13109	281
979	13122	267
980	13135	254
981	13148	241
982	13161	227
983	13175	214
984	13187	200
985	13200	187
986	13213	174
987	13228	160
988	13241	147
989	13253	133
990	13267	120
991	13280	107
992	13293	93
993	13306	80
994	13319	66
995	13332	53
996	13345	40
997	13358	26
998	13371	13
999	13384	0
